ROWHEADER,Test,ODI,T20,IPL,name,country
4w,0,0,0,0,Mushfiqur Rahim,Bangladesh
5w,0,0,0,0,Mushfiqur Rahim,Bangladesh
10w,0,0,0,0,Mushfiqur Rahim,Bangladesh
Matches,48,94,95,1,Litton Das,Bangladesh
Innings,1,0,0,0,Litton Das,Bangladesh
Balls,12,0,0,0,Litton Das,Bangladesh
Runs,13,0,0,0,Litton Das,Bangladesh
Maidens,0,0,0,0,Litton Das,Bangladesh
Wickets,0,0,0,0,Litton Das,Bangladesh
Avg,0,0,0,0,Litton Das,Bangladesh
Eco,6.5,0,0,0,Litton Das,Bangladesh
SR,0,0,0,0,Litton Das,Bangladesh
BBI,0/13,-/-,-/-,-/-,Litton Das,Bangladesh
BBM,0/13,-/-,-/-,-/-,Litton Das,Bangladesh
4w,0,0,0,0,Litton Das,Bangladesh
5w,0,0,0,0,Litton Das,Bangladesh
10w,0,0,0,0,Litton Das,Bangladesh
Matches,10,34,17,0,Mohammad Mithun,Bangladesh
Innings,0,1,0,0,Mohammad Mithun,Bangladesh
Balls,0,12,0,0,Mohammad Mithun,Bangladesh
Runs,0,12,0,0,Mohammad Mithun,Bangladesh
Maidens,0,0,0,0,Mohammad Mithun,Bangladesh
Wickets,0,0,0,0,Mohammad Mithun,Bangladesh
Avg,0,0,0,0,Mohammad Mithun,Bangladesh
Eco,0,6,0,0,Mohammad Mithun,Bangladesh
SR,0,0,0,0,Mohammad Mithun,Bangladesh
BBI,-/-,0/12,-/-,-/-,Mohammad Mithun,Bangladesh
BBM,-/-,0/12,-/-,-/-,Mohammad Mithun,Bangladesh
4w,0,0,0,0,Mohammad Mithun,Bangladesh
5w,0,0,0,0,Mohammad Mithun,Bangladesh
10w,0,0,0,0,Mohammad Mithun,Bangladesh
Matches,36,220,54,1,Mashrafe Mortaza,Bangladesh
Innings,51,220,53,1,Mashrafe Mortaza,Bangladesh
Balls,5990,10928,1139,24,Mashrafe Mortaza,Bangladesh
Runs,3239,8897,1528,58,Mashrafe Mortaza,Bangladesh
Maidens,202,123,1,0,Mashrafe Mortaza,Bangladesh
Wickets,78,270,42,0,Mashrafe Mortaza,Bangladesh
Avg,41.53,32.95,36.38,0,Mashrafe Mortaza,Bangladesh
Eco,3.24,4.88,8.05,14.5,Mashrafe Mortaza,Bangladesh
SR,76.79,40.47,27.12,0,Mashrafe Mortaza,Bangladesh
BBI,Apr-60,Jun-26,Apr-19,0/58,Mashrafe Mortaza,Bangladesh
BBM,May-88,Jun-26,Apr-19,0/58,Mashrafe Mortaza,Bangladesh
4w,4,7,1,0,Mashrafe Mortaza,Bangladesh
5w,0,1,0,0,Mashrafe Mortaza,Bangladesh
10w,0,0,0,0,Mashrafe Mortaza,Bangladesh
Matches,27,104,28,0,Rubel Hossain,Bangladesh
Innings,44,102,27,0,Rubel Hossain,Bangladesh
Balls,4223,4678,579,0,Rubel Hossain,Bangladesh
Runs,2764,4427,912,0,Rubel Hossain,Bangladesh
Maidens,73,29,0,0,Rubel Hossain,Bangladesh
Wickets,36,129,28,0,Rubel Hossain,Bangladesh
Avg,76.78,34.32,32.57,0,Rubel Hossain,Bangladesh
Eco,3.93,5.68,9.45,0,Rubel Hossain,Bangladesh
SR,117.31,36.26,20.68,0,Rubel Hossain,Bangladesh
BBI,5/166,Jun-26,Mar-31,-/-,Rubel Hossain,Bangladesh
BBM,5/210,Jun-26,Mar-31,-/-,Rubel Hossain,Bangladesh
4w,0,7,0,0,Rubel Hossain,Bangladesh
5w,1,1,0,0,Rubel Hossain,Bangladesh
10w,0,0,0,0,Rubel Hossain,Bangladesh
Matches,15,109,106,57,Mustafizur Rahman,Bangladesh
Innings,25,108,105,57,Mustafizur Rahman,Bangladesh
Balls,2145,5279,2278,1298,Mustafizur Rahman,Bangladesh
Runs,1139,4556,2854,1762,Mustafizur Rahman,Bangladesh
Maidens,76,35,8,2,Mustafizur Rahman,Bangladesh
Wickets,31,174,132,61,Mustafizur Rahman,Bangladesh
Avg,36.74,26.18,21.62,28.89,Mustafizur Rahman,Bangladesh
Eco,3.19,5.18,7.52,8.14,Mustafizur Rahman,Bangladesh
SR,69.19,30.34,17.26,21.28,Mustafizur Rahman,Bangladesh
BBI,Apr-37,Jun-43,06-Oct,Apr-29,Mustafizur Rahman,Bangladesh
BBM,May-66,Jun-43,06-Oct,Apr-29,Mustafizur Rahman,Bangladesh
4w,2,6,3,1,Mustafizur Rahman,Bangladesh
5w,0,5,2,0,Mustafizur Rahman,Bangladesh
10w,0,0,0,0,Mustafizur Rahman,Bangladesh
Matches,13,2,3,0,Abu Jayed,Bangladesh
Innings,18,2,3,0,Abu Jayed,Bangladesh
Balls,1964,108,66,0,Abu Jayed,Bangladesh
Runs,1118,114,106,0,Abu Jayed,Bangladesh
Maidens,64,0,0,0,Abu Jayed,Bangladesh
Wickets,30,5,4,0,Abu Jayed,Bangladesh
Avg,37.27,22.8,26.5,0,Abu Jayed,Bangladesh
Eco,3.42,6.33,9.64,0,Abu Jayed,Bangladesh
SR,65.47,21.6,16.5,0,Abu Jayed,Bangladesh
BBI,Apr-71,May-58,Feb-27,-/-,Abu Jayed,Bangladesh
BBM,6/130,May-58,Feb-27,-/-,Abu Jayed,Bangladesh
4w,3,0,0,0,Abu Jayed,Bangladesh
5w,0,1,0,0,Abu Jayed,Bangladesh
10w,0,0,0,0,Abu Jayed,Bangladesh
Matches,3,86,92,0,Fakhar Zaman,Pakistan
Innings,0,7,1,0,Fakhar Zaman,Pakistan
Balls,0,135,6,0,Fakhar Zaman,Pakistan
Runs,0,111,12,0,Fakhar Zaman,Pakistan
Maidens,0,0,0,0,Fakhar Zaman,Pakistan
Wickets,0,1,0,0,Fakhar Zaman,Pakistan
Avg,0,111,0,0,Fakhar Zaman,Pakistan
Eco,0,4.93,12,0,Fakhar Zaman,Pakistan
SR,0,135,0,0,Fakhar Zaman,Pakistan
BBI,-/-,Jan-19,0/12,-/-,Fakhar Zaman,Pakistan
BBM,-/-,Jan-19,0/12,-/-,Fakhar Zaman,Pakistan
4w,0,0,0,0,Fakhar Zaman,Pakistan
5w,0,0,0,0,Fakhar Zaman,Pakistan
10w,0,0,0,0,Fakhar Zaman,Pakistan
Matches,24,75,2,0,Imam,Pakistan
Innings,1,0,0,0,Imam,Pakistan
Balls,12,0,0,0,Imam,Pakistan
Runs,9,0,0,0,Imam,Pakistan
Maidens,0,0,0,0,Imam,Pakistan
Wickets,0,0,0,0,Imam,Pakistan
Avg,0,0,0,0,Imam,Pakistan
Eco,4.5,0,0,0,Imam,Pakistan
SR,0,0,0,0,Imam,Pakistan
BBI,0/9,-/-,-/-,-/-,Imam,Pakistan
BBM,0/9,-/-,-/-,-/-,Imam,Pakistan
4w,0,0,0,0,Imam,Pakistan
5w,0,0,0,0,Imam,Pakistan
10w,0,0,0,0,Imam,Pakistan
Matches,59,131,128,0,Babar Azam,Pakistan
Innings,8,0,0,0,Babar Azam,Pakistan
Balls,90,0,0,0,Babar Azam,Pakistan
Runs,42,0,0,0,Babar Azam,Pakistan
Maidens,2,0,0,0,Babar Azam,Pakistan
Wickets,2,0,0,0,Babar Azam,Pakistan
Avg,21,0,0,0,Babar Azam,Pakistan
Eco,2.8,0,0,0,Babar Azam,Pakistan
SR,45,0,0,0,Babar Azam,Pakistan
BBI,01-Jan,-/-,-/-,-/-,Babar Azam,Pakistan
BBM,01-Feb,-/-,-/-,-/-,Babar Azam,Pakistan
4w,0,0,0,0,Babar Azam,Pakistan
5w,0,0,0,0,Babar Azam,Pakistan
10w,0,0,0,0,Babar Azam,Pakistan
Matches,0,21,58,0,Asif Ali,Pakistan
Innings,0,1,0,0,Asif Ali,Pakistan
Balls,0,5,0,0,Asif Ali,Pakistan
Runs,0,9,0,0,Asif Ali,Pakistan
Maidens,0,0,0,0,Asif Ali,Pakistan
Wickets,0,0,0,0,Asif Ali,Pakistan
Avg,0,0,0,0,Asif Ali,Pakistan
Eco,0,0,0,0,Asif Ali,Pakistan
SR,0,0,0,0,Asif Ali,Pakistan
BBI,-/-,0/9,-/-,-/-,Asif Ali,Pakistan
BBM,-/-,0/9,-/-,-/-,Asif Ali,Pakistan
4w,0,0,0,0,Asif Ali,Pakistan
5w,0,0,0,0,Asif Ali,Pakistan
10w,0,0,0,0,Asif Ali,Pakistan
Matches,16,45,14,0,Haris Sohail,Pakistan
Innings,17,21,0,0,Haris Sohail,Pakistan
Balls,630,642,0,0,Haris Sohail,Pakistan
Runs,294,613,0,0,Haris Sohail,Pakistan
Maidens,12,0,0,0,Haris Sohail,Pakistan
Wickets,13,11,0,0,Haris Sohail,Pakistan
Avg,22.62,55.73,0,0,Haris Sohail,Pakistan
Eco,2.8,5.73,0,0,Haris Sohail,Pakistan
SR,48.46,58.36,0,0,Haris Sohail,Pakistan
BBI,03-Jan,Mar-45,-/-,-/-,Haris Sohail,Pakistan
BBM,Mar-35,Mar-45,-/-,-/-,Haris Sohail,Pakistan
4w,0,0,0,0,Haris Sohail,Pakistan
5w,0,0,0,0,Haris Sohail,Pakistan
10w,0,0,0,0,Haris Sohail,Pakistan
Matches,55,218,119,8,Mohammad Hafeez,Pakistan
Innings,77,177,79,4,Mohammad Hafeez,Pakistan
Balls,4067,7733,1261,60,Mohammad Hafeez,Pakistan
Runs,1808,5401,1388,68,Mohammad Hafeez,Pakistan
Maidens,118,48,3,0,Mohammad Hafeez,Pakistan
Wickets,53,139,61,2,Mohammad Hafeez,Pakistan
Avg,34.11,38.86,22.75,34,Mohammad Hafeez,Pakistan
Eco,2.67,4.19,6.6,6.8,Mohammad Hafeez,Pakistan
SR,76.74,55.63,20.67,30,Mohammad Hafeez,Pakistan
BBI,Apr-16,Apr-41,04-Oct,01-Aug,Mohammad Hafeez,Pakistan
BBM,Apr-48,Apr-41,04-Oct,01-Aug,Mohammad Hafeez,Pakistan
4w,2,1,1,0,Mohammad Hafeez,Pakistan
5w,0,0,0,0,Mohammad Hafeez,Pakistan
10w,0,0,0,0,Mohammad Hafeez,Pakistan
Matches,35,287,124,7,Shoaib Malik,Pakistan
Innings,43,217,50,5,Shoaib Malik,Pakistan
Balls,2712,7958,570,51,Shoaib Malik,Pakistan
Runs,1519,6192,675,85,Shoaib Malik,Pakistan
Maidens,61,38,0,0,Shoaib Malik,Pakistan
Wickets,32,158,28,2,Shoaib Malik,Pakistan
Avg,47.47,39.19,24.11,42.5,Shoaib Malik,Pakistan
Eco,3.36,4.67,7.11,10,Shoaib Malik,Pakistan
SR,84.75,50.37,20.36,25.5,Shoaib Malik,Pakistan
BBI,Apr-33,Apr-19,02-Jul,01-Jun,Shoaib Malik,Pakistan
BBM,Jul-59,Apr-19,02-Jul,01-Jun,Shoaib Malik,Pakistan
4w,2,1,0,0,Shoaib Malik,Pakistan
5w,0,0,0,0,Shoaib Malik,Pakistan
10w,0,0,0,0,Shoaib Malik,Pakistan
Matches,6,70,109,0,Shadab Khan,Pakistan
Innings,11,67,101,0,Shadab Khan,Pakistan
Balls,954,3388,2167,0,Shadab Khan,Pakistan
Runs,513,2960,2665,0,Shadab Khan,Pakistan
Maidens,19,13,3,0,Shadab Khan,Pakistan
Wickets,14,85,108,0,Shadab Khan,Pakistan
Avg,36.64,34.82,24.68,0,Shadab Khan,Pakistan
Eco,3.23,5.24,7.38,0,Shadab Khan,Pakistan
SR,68.14,39.86,20.06,0,Shadab Khan,Pakistan
BBI,Mar-31,Apr-27,04-Aug,-/-,Shadab Khan,Pakistan
BBM,Apr-80,Apr-27,04-Aug,-/-,Shadab Khan,Pakistan
4w,0,5,3,0,Shadab Khan,Pakistan
5w,0,0,0,0,Shadab Khan,Pakistan
10w,0,0,0,0,Shadab Khan,Pakistan
Matches,0,55,75,0,Imad Wasim,Pakistan
Innings,0,53,74,0,Imad Wasim,Pakistan
Balls,0,2403,1536,0,Imad Wasim,Pakistan
Runs,0,1957,1588,0,Imad Wasim,Pakistan
Maidens,0,8,4,0,Imad Wasim,Pakistan
Wickets,0,44,73,0,Imad Wasim,Pakistan
Avg,0,44.48,21.75,0,Imad Wasim,Pakistan
Eco,0,4.89,6.2,0,Imad Wasim,Pakistan
SR,0,54.61,21.04,0,Imad Wasim,Pakistan
BBI,-/-,May-14,May-14,-/-,Imad Wasim,Pakistan
BBM,-/-,May-14,May-14,-/-,Imad Wasim,Pakistan
4w,0,0,1,0,Imad Wasim,Pakistan
5w,0,1,1,0,Imad Wasim,Pakistan
10w,0,0,0,0,Imad Wasim,Pakistan
Matches,54,117,61,0,Sarfaraz Ahmed,Pakistan
Innings,0,1,0,0,Sarfaraz Ahmed,Pakistan
Balls,0,12,0,0,Sarfaraz Ahmed,Pakistan
Runs,0,15,0,0,Sarfaraz Ahmed,Pakistan
Maidens,0,0,0,0,Sarfaraz Ahmed,Pakistan
Wickets,0,0,0,0,Sarfaraz Ahmed,Pakistan
Avg,0,0,0,0,Sarfaraz Ahmed,Pakistan
Eco,0,7.5,0,0,Sarfaraz Ahmed,Pakistan
SR,0,0,0,0,Sarfaraz Ahmed,Pakistan
BBI,-/-,0/15,-/-,-/-,Sarfaraz Ahmed,Pakistan
BBM,-/-,0/15,-/-,-/-,Sarfaraz Ahmed,Pakistan
4w,0,0,0,0,Sarfaraz Ahmed,Pakistan
5w,0,0,0,0,Sarfaraz Ahmed,Pakistan
10w,0,0,0,0,Sarfaraz Ahmed,Pakistan
Matches,27,91,36,0,Wahab Riaz,Pakistan
Innings,49,90,35,0,Wahab Riaz,Pakistan
Balls,5018,4327,710,0,Wahab Riaz,Pakistan
Runs,2864,4117,971,0,Wahab Riaz,Pakistan
Maidens,118,20,2,0,Wahab Riaz,Pakistan
Wickets,83,120,34,0,Wahab Riaz,Pakistan
Avg,34.51,34.31,28.56,0,Wahab Riaz,Pakistan
Eco,3.42,5.71,8.21,0,Wahab Riaz,Pakistan
SR,60.46,36.06,20.88,0,Wahab Riaz,Pakistan
BBI,May-63,May-46,Mar-18,-/-,Wahab Riaz,Pakistan
BBM,7/134,May-46,Mar-18,-/-,Wahab Riaz,Pakistan
4w,3,5,0,0,Wahab Riaz,Pakistan
5w,2,1,0,0,Wahab Riaz,Pakistan
10w,0,0,0,0,Wahab Riaz,Pakistan
Matches,31,64,79,0,Shaheen Afridi,Pakistan
Innings,53,63,79,0,Shaheen Afridi,Pakistan
Balls,6162,3288,1714,0,Shaheen Afridi,Pakistan
Runs,3235,3095,2257,0,Shaheen Afridi,Pakistan
Maidens,206,28,3,0,Shaheen Afridi,Pakistan
Wickets,116,127,102,0,Shaheen Afridi,Pakistan
Avg,27.89,24.37,22.13,0,Shaheen Afridi,Pakistan
Eco,3.15,5.65,7.9,0,Shaheen Afridi,Pakistan
SR,53.12,25.89,16.8,0,Shaheen Afridi,Pakistan
BBI,Jun-51,Jun-35,Apr-22,-/-,Shaheen Afridi,Pakistan
BBM,Oct-94,Jun-35,Apr-22,-/-,Shaheen Afridi,Pakistan
4w,12,7,2,0,Shaheen Afridi,Pakistan
5w,4,3,0,0,Shaheen Afridi,Pakistan
10w,1,0,0,0,Shaheen Afridi,Pakistan
Matches,24,66,51,0,Hasan Ali,Pakistan
Innings,46,64,50,0,Hasan Ali,Pakistan
Balls,4295,3188,1033,0,Hasan Ali,Pakistan
Runs,2185,3084,1456,0,Hasan Ali,Pakistan
Maidens,164,16,5,0,Hasan Ali,Pakistan
Wickets,80,100,60,0,Hasan Ali,Pakistan
Avg,27.31,30.84,24.27,0,Hasan Ali,Pakistan
Eco,3.05,5.8,8.46,0,Hasan Ali,Pakistan
SR,53.69,31.88,17.22,0,Hasan Ali,Pakistan
BBI,May-27,May-34,Apr-18,-/-,Hasan Ali,Pakistan
BBM,10/114,May-34,Apr-18,-/-,Hasan Ali,Pakistan
4w,2,2,1,0,Hasan Ali,Pakistan
5w,6,4,0,0,Hasan Ali,Pakistan
10w,1,0,0,0,Hasan Ali,Pakistan
Matches,0,15,28,0,Mohammad Hasnain,Pakistan
Innings,0,15,27,0,Mohammad Hasnain,Pakistan
Balls,0,718,618,0,Mohammad Hasnain,Pakistan
Runs,0,755,877,0,Mohammad Hasnain,Pakistan
Maidens,0,6,0,0,Mohammad Hasnain,Pakistan
Wickets,0,17,25,0,Mohammad Hasnain,Pakistan
Avg,0,44.41,35.08,0,Mohammad Hasnain,Pakistan
Eco,0,6.31,8.51,0,Mohammad Hasnain,Pakistan
SR,0,42.24,24.72,0,Mohammad Hasnain,Pakistan
BBI,-/-,May-26,Mar-37,-/-,Mohammad Hasnain,Pakistan
BBM,-/-,May-26,Mar-37,-/-,Mohammad Hasnain,Pakistan
4w,0,0,0,0,Mohammad Hasnain,Pakistan
5w,0,1,0,0,Mohammad Hasnain,Pakistan
10w,0,0,0,0,Mohammad Hasnain,Pakistan
Matches,36,61,62,0,Mohammad Amir,Pakistan
Innings,67,60,61,0,Mohammad Amir,Pakistan
Balls,7619,3013,1321,0,Mohammad Amir,Pakistan
Runs,3627,2400,1558,0,Mohammad Amir,Pakistan
Maidens,291,34,6,0,Mohammad Amir,Pakistan
Wickets,119,81,71,0,Mohammad Amir,Pakistan
Avg,30.48,29.63,21.94,0,Mohammad Amir,Pakistan
Eco,2.86,4.78,7.08,0,Mohammad Amir,Pakistan
SR,64.03,37.2,18.61,0,Mohammad Amir,Pakistan
BBI,Jun-44,May-30,Apr-13,-/-,Mohammad Amir,Pakistan
BBM,Jul-64,May-30,Apr-13,-/-,Mohammad Amir,Pakistan
4w,6,1,1,0,Mohammad Amir,Pakistan
5w,4,1,0,0,Mohammad Amir,Pakistan
10w,0,0,0,0,Mohammad Amir,Pakistan
Matches,44,127,26,0,Lahiru Thirimanne,Sri Lanka
Innings,5,4,0,0,Lahiru Thirimanne,Sri Lanka
Balls,84,104,0,0,Lahiru Thirimanne,Sri Lanka
Runs,51,94,0,0,Lahiru Thirimanne,Sri Lanka
Maidens,1,0,0,0,Lahiru Thirimanne,Sri Lanka
Wickets,0,3,0,0,Lahiru Thirimanne,Sri Lanka
Avg,0,31.33,0,0,Lahiru Thirimanne,Sri Lanka
Eco,3.64,5.42,0,0,Lahiru Thirimanne,Sri Lanka
SR,0,34.67,0,0,Lahiru Thirimanne,Sri Lanka
BBI,0/5,Feb-36,-/-,-/-,Lahiru Thirimanne,Sri Lanka
BBM,0/5,Feb-36,-/-,-/-,Lahiru Thirimanne,Sri Lanka
4w,0,0,0,0,Lahiru Thirimanne,Sri Lanka
5w,0,0,0,0,Lahiru Thirimanne,Sri Lanka
10w,0,0,0,0,Lahiru Thirimanne,Sri Lanka
Matches,100,50,0,0,Dimuth Karunaratne,Sri Lanka
Innings,15,2,0,0,Dimuth Karunaratne,Sri Lanka
Balls,312,16,0,0,Dimuth Karunaratne,Sri Lanka
Runs,202,18,0,0,Dimuth Karunaratne,Sri Lanka
Maidens,5,0,0,0,Dimuth Karunaratne,Sri Lanka
Wickets,2,0,0,0,Dimuth Karunaratne,Sri Lanka
Avg,101,0,0,0,Dimuth Karunaratne,Sri Lanka
Eco,3.88,6.75,0,0,Dimuth Karunaratne,Sri Lanka
SR,156,0,0,0,Dimuth Karunaratne,Sri Lanka
BBI,01-Dec,0/7,-/-,-/-,Dimuth Karunaratne,Sri Lanka
BBM,01-Dec,0/7,-/-,-/-,Dimuth Karunaratne,Sri Lanka
4w,0,0,0,0,Dimuth Karunaratne,Sri Lanka
5w,0,0,0,0,Dimuth Karunaratne,Sri Lanka
10w,0,0,0,0,Dimuth Karunaratne,Sri Lanka
Matches,0,51,37,0,Avishka Fernando,Sri Lanka
Innings,0,0,0,0,Avishka Fernando,Sri Lanka
Balls,0,0,0,0,Avishka Fernando,Sri Lanka
Runs,0,0,0,0,Avishka Fernando,Sri Lanka
Maidens,0,0,0,0,Avishka Fernando,Sri Lanka
Wickets,0,0,0,0,Avishka Fernando,Sri Lanka
Avg,0,0,0,0,Avishka Fernando,Sri Lanka
Eco,0,0,0,0,Avishka Fernando,Sri Lanka
SR,0,0,0,0,Avishka Fernando,Sri Lanka
BBI,-/-,-/-,-/-,-/-,Avishka Fernando,Sri Lanka
BBM,-/-,-/-,-/-,-/-,Avishka Fernando,Sri Lanka
4w,0,0,0,0,Avishka Fernando,Sri Lanka
5w,0,0,0,0,Avishka Fernando,Sri Lanka
10w,0,0,0,0,Avishka Fernando,Sri Lanka
Matches,118,226,90,49,Angelo Mathews,Sri Lanka
Innings,86,163,72,44,Angelo Mathews,Sri Lanka
Balls,3978,5324,1169,791,Angelo Mathews,Sri Lanka
Runs,1798,4110,1389,1079,Angelo Mathews,Sri Lanka
Maidens,161,56,4,0,Angelo Mathews,Sri Lanka
Wickets,33,126,45,27,Angelo Mathews,Sri Lanka
Avg,54.48,32.62,30.87,39.96,Angelo Mathews,Sri Lanka
Eco,2.71,4.63,7.13,8.18,Angelo Mathews,Sri Lanka
SR,120.55,42.25,25.98,29.3,Angelo Mathews,Sri Lanka
BBI,Apr-44,Jun-20,Mar-16,Apr-19,Angelo Mathews,Sri Lanka
BBM,Apr-60,Jun-20,Mar-16,Apr-19,Angelo Mathews,Sri Lanka
4w,1,2,0,1,Angelo Mathews,Sri Lanka
5w,0,1,0,0,Angelo Mathews,Sri Lanka
10w,0,0,0,0,Angelo Mathews,Sri Lanka
Matches,63,90,45,0,Dhananjaya de Silva,Sri Lanka
Innings,91,75,25,0,Dhananjaya de Silva,Sri Lanka
Balls,4029,2250,286,0,Dhananjaya de Silva,Sri Lanka
Runs,2239,1907,327,0,Dhananjaya de Silva,Sri Lanka
Maidens,83,1,0,0,Dhananjaya de Silva,Sri Lanka
Wickets,40,44,16,0,Dhananjaya de Silva,Sri Lanka
Avg,55.98,43.34,20.44,0,Dhananjaya de Silva,Sri Lanka
Eco,3.33,5.09,6.86,0,Dhananjaya de Silva,Sri Lanka
SR,100.73,51.14,17.88,0,Dhananjaya de Silva,Sri Lanka
BBI,Mar-25,Mar-32,Feb-22,-/-,Dhananjaya de Silva,Sri Lanka
BBM,May-51,Mar-32,Feb-22,-/-,Dhananjaya de Silva,Sri Lanka
4w,0,0,0,0,Dhananjaya de Silva,Sri Lanka
5w,0,0,0,0,Dhananjaya de Silva,Sri Lanka
10w,0,0,0,0,Dhananjaya de Silva,Sri Lanka
Matches,5,27,22,0,Milinda Siriwardana,Sri Lanka
Innings,9,21,13,0,Milinda Siriwardana,Sri Lanka
Balls,413,601,138,0,Milinda Siriwardana,Sri Lanka
Runs,257,547,206,0,Milinda Siriwardana,Sri Lanka
Maidens,6,2,0,0,Milinda Siriwardana,Sri Lanka
Wickets,11,9,8,0,Milinda Siriwardana,Sri Lanka
Avg,23.36,60.78,25.75,0,Milinda Siriwardana,Sri Lanka
Eco,3.73,5.46,8.96,0,Milinda Siriwardana,Sri Lanka
SR,37.55,66.78,17.25,0,Milinda Siriwardana,Sri Lanka
BBI,Mar-25,Feb-27,Feb-17,-/-,Milinda Siriwardana,Sri Lanka
BBM,May-51,Feb-27,Feb-17,-/-,Milinda Siriwardana,Sri Lanka
4w,0,0,0,0,Milinda Siriwardana,Sri Lanka
5w,0,0,0,0,Milinda Siriwardana,Sri Lanka
10w,0,0,0,0,Milinda Siriwardana,Sri Lanka
Matches,6,166,84,37,Thisara Perera,Sri Lanka
Innings,8,157,67,36,Thisara Perera,Sri Lanka
Balls,954,5900,1102,698,Thisara Perera,Sri Lanka
Runs,653,5740,1717,1016,Thisara Perera,Sri Lanka
Maidens,20,28,1,0,Thisara Perera,Sri Lanka
Wickets,11,175,51,31,Thisara Perera,Sri Lanka
Avg,59.36,32.8,33.67,32.77,Thisara Perera,Sri Lanka
Eco,4.11,5.84,9.35,8.73,Thisara Perera,Sri Lanka
SR,86.73,33.71,21.61,22.52,Thisara Perera,Sri Lanka
BBI,Apr-63,Jun-44,Mar-24,Mar-20,Thisara Perera,Sri Lanka
BBM,4/151,Jun-44,Mar-24,Mar-20,Thisara Perera,Sri Lanka
4w,1,5,0,0,Thisara Perera,Sri Lanka
5w,0,4,0,0,Thisara Perera,Sri Lanka
10w,0,0,0,0,Thisara Perera,Sri Lanka
Matches,0,21,35,10,Isuru Udana,Sri Lanka
Innings,0,21,32,10,Isuru Udana,Sri Lanka
Balls,0,909,631,174,Isuru Udana,Sri Lanka
Runs,0,950,915,282,Isuru Udana,Sri Lanka
Maidens,0,2,1,0,Isuru Udana,Sri Lanka
Wickets,0,18,27,8,Isuru Udana,Sri Lanka
Avg,0,52.78,33.89,35.25,Isuru Udana,Sri Lanka
Eco,0,6.27,8.7,9.72,Isuru Udana,Sri Lanka
SR,0,50.5,23.37,21.75,Isuru Udana,Sri Lanka
BBI,-/-,Mar-82,03-Nov,Feb-41,Isuru Udana,Sri Lanka
BBM,-/-,Mar-82,03-Nov,Feb-41,Isuru Udana,Sri Lanka
4w,0,0,0,0,Isuru Udana,Sri Lanka
5w,0,0,0,0,Isuru Udana,Sri Lanka
10w,0,0,0,0,Isuru Udana,Sri Lanka
Matches,0,58,22,3,Jeevan Mendis,Sri Lanka
Innings,0,49,14,2,Jeevan Mendis,Sri Lanka
Balls,0,1404,210,30,Jeevan Mendis,Sri Lanka
Runs,0,1204,249,36,Jeevan Mendis,Sri Lanka
Maidens,0,2,0,0,Jeevan Mendis,Sri Lanka
Wickets,0,28,12,1,Jeevan Mendis,Sri Lanka
Avg,0,43,20.75,36,Jeevan Mendis,Sri Lanka
Eco,0,5.15,7.11,7.2,Jeevan Mendis,Sri Lanka
SR,0,50.14,17.5,30,Jeevan Mendis,Sri Lanka
BBI,-/-,Mar-15,Mar-24,Jan-16,Jeevan Mendis,Sri Lanka
BBM,-/-,Mar-15,Mar-24,Jan-16,Jeevan Mendis,Sri Lanka
4w,0,0,0,0,Jeevan Mendis,Sri Lanka
5w,0,0,0,0,Jeevan Mendis,Sri Lanka
10w,0,0,0,0,Jeevan Mendis,Sri Lanka
Matches,22,116,77,2,Kusal Perera,Sri Lanka
Innings,0,0,0,0,Kusal Perera,Sri Lanka
Balls,0,0,0,0,Kusal Perera,Sri Lanka
Runs,0,0,0,0,Kusal Perera,Sri Lanka
Maidens,0,0,0,0,Kusal Perera,Sri Lanka
Wickets,0,0,0,0,Kusal Perera,Sri Lanka
Avg,0,0,0,0,Kusal Perera,Sri Lanka
Eco,0,0,0,0,Kusal Perera,Sri Lanka
SR,0,0,0,0,Kusal Perera,Sri Lanka
BBI,-/-,-/-,-/-,-/-,Kusal Perera,Sri Lanka
BBM,-/-,-/-,-/-,-/-,Kusal Perera,Sri Lanka
4w,0,0,0,0,Kusal Perera,Sri Lanka
5w,0,0,0,0,Kusal Perera,Sri Lanka
10w,0,0,0,0,Kusal Perera,Sri Lanka
Matches,71,143,78,0,Kusal Mendis,Sri Lanka
Innings,9,2,0,0,Kusal Mendis,Sri Lanka
Balls,132,20,0,0,Kusal Mendis,Sri Lanka
Runs,118,28,0,0,Kusal Mendis,Sri Lanka
Maidens,1,0,0,0,Kusal Mendis,Sri Lanka
Wickets,1,0,0,0,Kusal Mendis,Sri Lanka
Avg,118,0,0,0,Kusal Mendis,Sri Lanka
Eco,5.36,8.4,0,0,Kusal Mendis,Sri Lanka
SR,132,0,0,0,Kusal Mendis,Sri Lanka
BBI,01-Oct,0/13,-/-,-/-,Kusal Mendis,Sri Lanka
BBM,Jan-18,0/13,-/-,-/-,Kusal Mendis,Sri Lanka
4w,0,0,0,0,Kusal Mendis,Sri Lanka
5w,0,0,0,0,Kusal Mendis,Sri Lanka
10w,0,0,0,0,Kusal Mendis,Sri Lanka
Matches,70,86,11,0,Suranga Lakmal,Sri Lanka
Innings,122,84,11,0,Suranga Lakmal,Sri Lanka
Balls,12437,3881,208,0,Suranga Lakmal,Sri Lanka
Runs,6229,3534,330,0,Suranga Lakmal,Sri Lanka
