ROWHEADER,Test,ODI,T20,IPL,name,country
SR,36.8,42.64,87.5,91.6,Mohammed Siraj,India
Not Out,22,10,3,15,Mohammed Siraj,India
Fours,14,3,1,10,Mohammed Siraj,India
Sixes,2,0,0,4,Mohammed Siraj,India
Ducks,11,1,1,2,Mohammed Siraj,India
50s,0,0,0,0,Mohammed Siraj,India
100s,0,0,0,0,Mohammed Siraj,India
200s,0,0,0,0,Mohammed Siraj,India
300s,0,0,0,0,Mohammed Siraj,India
400s,0,0,0,0,Mohammed Siraj,India
Matches,70,243,78,0,Tamim Iqbal,Bangladesh
Innings,134,240,78,0,Tamim Iqbal,Bangladesh
Runs,5134,8357,1758,0,Tamim Iqbal,Bangladesh
Balls,8852,10642,1500,0,Tamim Iqbal,Bangladesh
Highest,206,158,103,0,Tamim Iqbal,Bangladesh
Average,38.89,36.65,24.08,0,Tamim Iqbal,Bangladesh
SR,58,78.53,117.2,0,Tamim Iqbal,Bangladesh
Not Out,2,12,5,0,Tamim Iqbal,Bangladesh
Fours,656,925,189,0,Tamim Iqbal,Bangladesh
Sixes,41,103,45,0,Tamim Iqbal,Bangladesh
Ducks,11,19,6,0,Tamim Iqbal,Bangladesh
50s,31,56,7,0,Tamim Iqbal,Bangladesh
100s,10,14,1,0,Tamim Iqbal,Bangladesh
200s,1,0,0,0,Tamim Iqbal,Bangladesh
300s,0,0,0,0,Tamim Iqbal,Bangladesh
400s,0,0,0,0,Tamim Iqbal,Bangladesh
Matches,16,76,87,0,Soumya Sarkar,Bangladesh
Innings,30,71,86,0,Soumya Sarkar,Bangladesh
Runs,831,2198,1462,0,Soumya Sarkar,Bangladesh
Balls,1442,2282,1197,0,Soumya Sarkar,Bangladesh
Highest,149,169,68,0,Soumya Sarkar,Bangladesh
Average,27.7,32.32,17.83,0,Soumya Sarkar,Bangladesh
SR,57.63,96.32,122.14,0,Soumya Sarkar,Bangladesh
Not Out,0,3,4,0,Soumya Sarkar,Bangladesh
Fours,109,256,145,0,Soumya Sarkar,Bangladesh
Sixes,9,52,55,0,Soumya Sarkar,Bangladesh
Ducks,2,9,13,0,Soumya Sarkar,Bangladesh
50s,4,13,5,0,Soumya Sarkar,Bangladesh
100s,1,3,0,0,Soumya Sarkar,Bangladesh
200s,0,0,0,0,Soumya Sarkar,Bangladesh
300s,0,0,0,0,Soumya Sarkar,Bangladesh
400s,0,0,0,0,Soumya Sarkar,Bangladesh
Matches,11,66,48,0,Sabbir Rahman,Bangladesh
Innings,22,59,47,0,Sabbir Rahman,Bangladesh
Runs,481,1333,977,0,Sabbir Rahman,Bangladesh
Balls,875,1461,819,0,Sabbir Rahman,Bangladesh
Highest,66,102,80,0,Sabbir Rahman,Bangladesh
Average,24.05,25.63,23.26,0,Sabbir Rahman,Bangladesh
SR,54.98,91.24,119.3,0,Sabbir Rahman,Bangladesh
Not Out,2,7,5,0,Sabbir Rahman,Bangladesh
Fours,56,153,92,0,Sabbir Rahman,Bangladesh
Sixes,6,24,29,0,Sabbir Rahman,Bangladesh
Ducks,5,5,3,0,Sabbir Rahman,Bangladesh
50s,4,6,4,0,Sabbir Rahman,Bangladesh
100s,0,1,0,0,Sabbir Rahman,Bangladesh
200s,0,0,0,0,Sabbir Rahman,Bangladesh
300s,0,0,0,0,Sabbir Rahman,Bangladesh
400s,0,0,0,0,Sabbir Rahman,Bangladesh
Matches,50,239,141,0,Mahmudullah,Bangladesh
Innings,94,209,130,0,Mahmudullah,Bangladesh
Runs,2914,5689,2443,0,Mahmudullah,Bangladesh
Balls,5456,7330,2083,0,Mahmudullah,Bangladesh
Highest,150,128,64,0,Mahmudullah,Bangladesh
Average,33.11,36.47,23.49,0,Mahmudullah,Bangladesh
SR,53.41,77.62,117.29,0,Mahmudullah,Bangladesh
Not Out,6,53,26,0,Mahmudullah,Bangladesh
Fours,338,426,184,0,Mahmudullah,Bangladesh
Sixes,24,107,77,0,Mahmudullah,Bangladesh
Ducks,11,10,5,0,Mahmudullah,Bangladesh
50s,16,32,8,0,Mahmudullah,Bangladesh
100s,5,4,0,0,Mahmudullah,Bangladesh
200s,0,0,0,0,Mahmudullah,Bangladesh
300s,0,0,0,0,Mahmudullah,Bangladesh
400s,0,0,0,0,Mahmudullah,Bangladesh
Matches,71,247,129,71,Shakib Al Hasan,Bangladesh
Innings,130,234,126,52,Shakib Al Hasan,Bangladesh
Runs,4609,7570,2551,793,Shakib Al Hasan,Bangladesh
Balls,7473,9138,2104,637,Shakib Al Hasan,Bangladesh
Highest,217,134,84,66,Shakib Al Hasan,Bangladesh
Average,37.78,37.11,23.19,19.83,Shakib Al Hasan,Bangladesh
