ROWHEADER,Test,ODI,T20,IPL,name,country
Sixes,4,84,64,26,Thisara Perera,Sri Lanka
Ducks,0,11,8,1,Thisara Perera,Sri Lanka
50s,1,10,3,0,Thisara Perera,Sri Lanka
100s,0,1,0,0,Thisara Perera,Sri Lanka
200s,0,0,0,0,Thisara Perera,Sri Lanka
300s,0,0,0,0,Thisara Perera,Sri Lanka
400s,0,0,0,0,Thisara Perera,Sri Lanka
Matches,0,21,35,10,Isuru Udana,Sri Lanka
Innings,0,18,25,4,Isuru Udana,Sri Lanka
Runs,0,237,256,15,Isuru Udana,Sri Lanka
Balls,0,249,186,11,Isuru Udana,Sri Lanka
Highest,0,78,84,10,Isuru Udana,Sri Lanka
Average,0,16.93,18.29,5,Isuru Udana,Sri Lanka
SR,0,95.19,137.64,136.37,Isuru Udana,Sri Lanka
Not Out,0,4,11,1,Isuru Udana,Sri Lanka
Fours,0,17,16,1,Isuru Udana,Sri Lanka
Sixes,0,10,14,1,Isuru Udana,Sri Lanka
Ducks,0,2,3,1,Isuru Udana,Sri Lanka
50s,0,1,1,0,Isuru Udana,Sri Lanka
100s,0,0,0,0,Isuru Udana,Sri Lanka
200s,0,0,0,0,Isuru Udana,Sri Lanka
300s,0,0,0,0,Isuru Udana,Sri Lanka
400s,0,0,0,0,Isuru Udana,Sri Lanka
Matches,0,58,22,3,Jeevan Mendis,Sri Lanka
Innings,0,44,15,3,Jeevan Mendis,Sri Lanka
Runs,0,636,208,23,Jeevan Mendis,Sri Lanka
Balls,0,769,174,27,Jeevan Mendis,Sri Lanka
Highest,0,72,43,12,Jeevan Mendis,Sri Lanka
Average,0,18.71,18.91,7.67,Jeevan Mendis,Sri Lanka
SR,0,82.71,119.55,85.19,Jeevan Mendis,Sri Lanka
Not Out,0,10,4,0,Jeevan Mendis,Sri Lanka
Fours,0,48,18,0,Jeevan Mendis,Sri Lanka
Sixes,0,13,6,0,Jeevan Mendis,Sri Lanka
Ducks,0,2,1,1,Jeevan Mendis,Sri Lanka
50s,0,1,0,0,Jeevan Mendis,Sri Lanka
100s,0,0,0,0,Jeevan Mendis,Sri Lanka
200s,0,0,0,0,Jeevan Mendis,Sri Lanka
300s,0,0,0,0,Jeevan Mendis,Sri Lanka
400s,0,0,0,0,Jeevan Mendis,Sri Lanka
Matches,22,116,77,2,Kusal Perera,Sri Lanka
Innings,41,111,76,2,Kusal Perera,Sri Lanka
Runs,1177,3237,2056,14,Kusal Perera,Sri Lanka
Balls,1629,3484,1533,13,Kusal Perera,Sri Lanka
Highest,153,135,101,14,Kusal Perera,Sri Lanka
Average,30.97,30.25,28.16,7,Kusal Perera,Sri Lanka
SR,72.26,92.92,134.12,107.7,Kusal Perera,Sri Lanka
Not Out,3,4,3,0,Kusal Perera,Sri Lanka
Fours,151,362,199,3,Kusal Perera,Sri Lanka
Sixes,12,52,65,0,Kusal Perera,Sri Lanka
Ducks,5,12,4,1,Kusal Perera,Sri Lanka
50s,7,17,15,0,Kusal Perera,Sri Lanka
100s,2,6,1,0,Kusal Perera,Sri Lanka
200s,0,0,0,0,Kusal Perera,Sri Lanka
300s,0,0,0,0,Kusal Perera,Sri Lanka
400s,0,0,0,0,Kusal Perera,Sri Lanka
Matches,71,143,78,0,Kusal Mendis,Sri Lanka
Innings,133,140,78,0,Kusal Mendis,Sri Lanka
Runs,4668,4429,1920,0,Kusal Mendis,Sri Lanka
Balls,8012,5076,1458,0,Kusal Mendis,Sri Lanka
Highest,245,143,86,0,Kusal Mendis,Sri Lanka
Average,36.76,34.33,25.6,0,Kusal Mendis,Sri Lanka
SR,58.27,87.26,131.69,0,Kusal Mendis,Sri Lanka
Not Out,6,11,3,0,Kusal Mendis,Sri Lanka
Fours,563,445,165,0,Kusal Mendis,Sri Lanka
Sixes,50,74,81,0,Kusal Mendis,Sri Lanka
Ducks,14,14,6,0,Kusal Mendis,Sri Lanka
50s,21,33,15,0,Kusal Mendis,Sri Lanka
100s,10,5,0,0,Kusal Mendis,Sri Lanka
200s,1,0,0,0,Kusal Mendis,Sri Lanka
300s,0,0,0,0,Kusal Mendis,Sri Lanka
400s,0,0,0,0,Kusal Mendis,Sri Lanka
Matches,70,86,11,0,Suranga Lakmal,Sri Lanka
Innings,109,48,6,0,Suranga Lakmal,Sri Lanka
Runs,935,244,7,0,Suranga Lakmal,Sri Lanka
Balls,1936,404,11,0,Suranga Lakmal,Sri Lanka
Highest,42,26,5,0,Suranga Lakmal,Sri Lanka
Average,11.13,9.38,2.33,0,Suranga Lakmal,Sri Lanka
SR,48.3,60.4,63.64,0,Suranga Lakmal,Sri Lanka
Not Out,25,22,3,0,Suranga Lakmal,Sri Lanka
Fours,114,18,1,0,Suranga Lakmal,Sri Lanka
Sixes,12,3,0,0,Suranga Lakmal,Sri Lanka
Ducks,21,9,2,0,Suranga Lakmal,Sri Lanka
50s,0,0,0,0,Suranga Lakmal,Sri Lanka
100s,0,0,0,0,Suranga Lakmal,Sri Lanka
200s,0,0,0,0,Suranga Lakmal,Sri Lanka
300s,0,0,0,0,Suranga Lakmal,Sri Lanka
400s,0,0,0,0,Suranga Lakmal,Sri Lanka
Matches,30,226,84,122,Lasith Malinga,Sri Lanka
Innings,37,120,33,25,Lasith Malinga,Sri Lanka
Runs,275,567,136,88,Lasith Malinga,Sri Lanka
Balls,619,761,161,99,Lasith Malinga,Sri Lanka
Highest,64,56,27,17,Lasith Malinga,Sri Lanka
Average,11.46,6.83,6.48,5.5,Lasith Malinga,Sri Lanka
SR,44.43,74.51,84.48,88.89,Lasith Malinga,Sri Lanka
Not Out,13,37,12,9,Lasith Malinga,Sri Lanka
Fours,36,45,9,6,Lasith Malinga,Sri Lanka
Sixes,6,21,5,5,Lasith Malinga,Sri Lanka
Ducks,9,26,8,6,Lasith Malinga,Sri Lanka
50s,1,1,0,0,Lasith Malinga,Sri Lanka
100s,0,0,0,0,Lasith Malinga,Sri Lanka
200s,0,0,0,0,Lasith Malinga,Sri Lanka
300s,0,0,0,0,Lasith Malinga,Sri Lanka
400s,0,0,0,0,Lasith Malinga,Sri Lanka
Matches,2,27,14,0,Jeffrey Vandersay,Sri Lanka
Innings,4,15,8,0,Jeffrey Vandersay,Sri Lanka
Runs,71,112,20,0,Jeffrey Vandersay,Sri Lanka
Balls,77,234,20,0,Jeffrey Vandersay,Sri Lanka
Highest,53,25,8,0,Jeffrey Vandersay,Sri Lanka
Average,17.75,11.2,20,0,Jeffrey Vandersay,Sri Lanka
SR,92.21,47.87,100,0,Jeffrey Vandersay,Sri Lanka
Not Out,0,5,7,0,Jeffrey Vandersay,Sri Lanka
Fours,10,5,3,0,Jeffrey Vandersay,Sri Lanka
Sixes,2,0,0,0,Jeffrey Vandersay,Sri Lanka
Ducks,0,2,0,0,Jeffrey Vandersay,Sri Lanka
50s,1,0,0,0,Jeffrey Vandersay,Sri Lanka
100s,0,0,0,0,Jeffrey Vandersay,Sri Lanka
200s,0,0,0,0,Jeffrey Vandersay,Sri Lanka
300s,0,0,0,0,Jeffrey Vandersay,Sri Lanka
400s,0,0,0,0,Jeffrey Vandersay,Sri Lanka
Matches,28,49,16,0,Nuwan Pradeep,Sri Lanka
Innings,50,25,6,0,Nuwan Pradeep,Sri Lanka
Runs,132,35,10,0,Nuwan Pradeep,Sri Lanka
Balls,361,83,15,0,Nuwan Pradeep,Sri Lanka
Highest,17,7,8,0,Nuwan Pradeep,Sri Lanka
Average,4,4.38,10,0,Nuwan Pradeep,Sri Lanka
SR,36.57,42.17,66.67,0,Nuwan Pradeep,Sri Lanka
Not Out,17,17,5,0,Nuwan Pradeep,Sri Lanka
Fours,19,3,1,0,Nuwan Pradeep,Sri Lanka
Sixes,0,1,0,0,Nuwan Pradeep,Sri Lanka
Ducks,18,4,1,0,Nuwan Pradeep,Sri Lanka
50s,0,0,0,0,Nuwan Pradeep,Sri Lanka
100s,0,0,0,0,Nuwan Pradeep,Sri Lanka
200s,0,0,0,0,Nuwan Pradeep,Sri Lanka
300s,0,0,0,0,Nuwan Pradeep,Sri Lanka
400s,0,0,0,0,Nuwan Pradeep,Sri Lanka
Matches,16,248,115,83,Eoin Morgan,England
Innings,24,230,106,75,Eoin Morgan,England
Runs,700,7701,2458,1405,Eoin Morgan,England
Balls,1278,8447,1805,1146,Eoin Morgan,England
Highest,130,148,91,68,Eoin Morgan,England
Average,30.43,39.09,28.58,22.66,Eoin Morgan,England
SR,54.78,91.17,136.18,122.61,Eoin Morgan,England
Not Out,1,33,20,13,Eoin Morgan,England
Fours,77,654,186,112,Eoin Morgan,England
Sixes,6,220,120,64,Eoin Morgan,England
Ducks,4,18,3,6,Eoin Morgan,England
50s,3,47,14,5,Eoin Morgan,England
100s,2,14,0,0,Eoin Morgan,England
200s,0,0,0,0,Eoin Morgan,England
300s,0,0,0,0,Eoin Morgan,England
400s,0,0,0,0,Eoin Morgan,England
Matches,152,177,32,3,Joe Root,England
Innings,278,166,30,1,Joe Root,England
Runs,12972,6859,893,10,Joe Root,England
Balls,22568,7881,707,15,Joe Root,England
Highest,262,133,90,10,Joe Root,England
Average,50.87,47.97,35.72,10,Joe Root,England
SR,57.48,87.04,126.31,66.67,Joe Root,England
Not Out,23,23,5,0,Joe Root,England
Fours,1394,548,92,1,Joe Root,England
Sixes,45,51,16,0,Joe Root,England
Ducks,13,9,2,0,Joe Root,England
50s,65,41,5,0,Joe Root,England
100s,36,17,0,0,Joe Root,England
200s,6,0,0,0,Joe Root,England
300s,0,0,0,0,Joe Root,England
400s,0,0,0,0,Joe Root,England
Matches,5,116,64,21,Jason Roy,England
Innings,10,110,64,21,Jason Roy,England
Runs,187,4271,1522,614,Jason Roy,England
Balls,318,4047,1106,443,Jason Roy,England
Highest,72,180,78,91,Jason Roy,England
Average,18.7,39.92,23.78,32.32,Jason Roy,England
SR,58.81,105.54,137.62,138.61,Jason Roy,England
Not Out,0,3,0,2,Jason Roy,England
Fours,26,511,153,75,Jason Roy,England
Sixes,1,81,69,21,Jason Roy,England
Ducks,1,11,7,0,Jason Roy,England
50s,1,21,8,4,Jason Roy,England
100s,0,12,0,0,Jason Roy,England
200s,0,0,0,0,Jason Roy,England
300s,0,0,0,0,Jason Roy,England
400s,0,0,0,0,Jason Roy,England
Matches,22,30,62,1,Dawid Malan,England
Innings,39,30,60,1,Dawid Malan,England
Runs,1074,1450,1892,26,Dawid Malan,England
Balls,2622,1488,1428,26,Dawid Malan,England
Highest,140,140,103,26,Dawid Malan,England
Average,27.54,55.77,36.38,26,Dawid Malan,England
SR,40.97,97.45,132.5,100,Dawid Malan,England
Not Out,0,4,8,0,Dawid Malan,England
Fours,146,150,194,1,Dawid Malan,England
Sixes,1,32,62,1,Dawid Malan,England
Ducks,2,5,2,0,Dawid Malan,England
50s,9,7,16,0,Dawid Malan,England
100s,1,6,1,0,Dawid Malan,England
200s,0,0,0,0,Dawid Malan,England
300s,0,0,0,0,Dawid Malan,England
400s,0,0,0,0,Dawid Malan,England
Matches,68,138,92,70,Moeen Ali,England
Innings,118,112,75,58,Moeen Ali,England
Runs,3094,2355,1229,1167,Moeen Ali,England
Balls,5973,2398,863,833,Moeen Ali,England
Highest,155,128,72,93,Moeen Ali,England
Average,28.13,24.28,21.19,22.44,Moeen Ali,England
SR,51.8,98.21,142.42,140.1,Moeen Ali,England
Not Out,8,15,17,6,Moeen Ali,England
Fours,375,203,88,95,Moeen Ali,England
Sixes,34,78,68,67,Moeen Ali,England
Ducks,15,6,9,5,Moeen Ali,England
50s,15,6,7,6,Moeen Ali,England
100s,5,3,0,0,Moeen Ali,England
200s,0,0,0,0,Moeen Ali,England
300s,0,0,0,0,Moeen Ali,England
400s,0,0,0,0,Moeen Ali,England
Matches,110,114,43,45,Ben Stokes,England
Innings,198,99,36,44,Ben Stokes,England
Runs,6719,3463,585,935,Ben Stokes,England
Balls,11251,3619,457,698,Ben Stokes,England
Highest,258,182,52,107,Ben Stokes,England
Average,35.55,41.23,21.67,24.61,Ben Stokes,England
SR,59.72,95.69,128.01,133.96,Ben Stokes,England
Not Out,9,15,9,6,Ben Stokes,England
Fours,779,282,42,81,Ben Stokes,England
Sixes,133,109,22,32,Ben Stokes,England
Ducks,15,7,1,3,Ben Stokes,England
50s,35,24,1,2,Ben Stokes,England
100s,13,5,0,2,Ben Stokes,England
200s,1,0,0,0,Ben Stokes,England
300s,0,0,0,0,Ben Stokes,England
400s,0,0,0,0,Ben Stokes,England
Matches,1,39,60,45,Liam Livingstone,England
Innings,2,36,47,44,Liam Livingstone,England
Runs,16,932,955,1022,Liam Livingstone,England
Balls,18,862,641,640,Liam Livingstone,England
Highest,9,124,103,94,Liam Livingstone,England
Average,16,31.07,25.13,27.62,Liam Livingstone,England
SR,88.89,108.13,148.99,159.69,Liam Livingstone,England
Not Out,1,6,9,7,Liam Livingstone,England
Fours,0,58,54,69,Liam Livingstone,England
Sixes,1,50,59,73,Liam Livingstone,England
Ducks,0,4,3,2,Liam Livingstone,England
50s,0,4,2,7,Liam Livingstone,England
100s,0,1,1,0,Liam Livingstone,England
200s,0,0,0,0,Liam Livingstone,England
300s,0,0,0,0,Liam Livingstone,England
400s,0,0,0,0,Liam Livingstone,England
Matches,57,122,33,21,Chris Woakes,England
Innings,92,88,17,12,Chris Woakes,England
Runs,1970,1524,146,78,Chris Woakes,England
Balls,3688,1710,117,77,Chris Woakes,England
Highest,137,95,37,18,Chris Woakes,England
Average,26.27,23.81,16.22,13,Chris Woakes,England
SR,53.42,89.13,124.79,101.3,Chris Woakes,England
Not Out,17,24,8,6,Chris Woakes,England
Fours,250,118,9,7,Chris Woakes,England
Sixes,7,21,7,2,Chris Woakes,England
Ducks,10,8,2,0,Chris Woakes,England
50s,7,6,0,0,Chris Woakes,England
100s,1,0,0,0,Chris Woakes,England
200s,0,0,0,0,Chris Woakes,England
300s,0,0,0,0,Chris Woakes,England
400s,0,0,0,0,Chris Woakes,England
Matches,2,28,30,13,Tom Curran,England
Innings,3,17,13,10,Tom Curran,England
Runs,66,303,64,127,Tom Curran,England
Balls,120,321,56,107,Tom Curran,England
Highest,39,47,14,54,Tom Curran,England
Average,33,37.88,10.67,25.4,Tom Curran,England
SR,55,94.4,114.29,118.7,Tom Curran,England
Not Out,1,9,7,5,Tom Curran,England
Fours,12,29,1,10,Tom Curran,England
Sixes,0,5,4,3,Tom Curran,England
Ducks,0,2,0,0,Tom Curran,England
50s,0,0,0,1,Tom Curran,England
100s,0,0,0,0,Tom Curran,England
200s,0,0,0,0,Tom Curran,England
300s,0,0,0,0,Tom Curran,England
400s,0,0,0,0,Tom Curran,England
Matches,0,3,9,0,Lewis Gregory,England
Innings,0,2,7,0,Lewis Gregory,England
Runs,0,117,45,0,Lewis Gregory,England
Balls,0,116,41,0,Lewis Gregory,England
Highest,0,77,15,0,Lewis Gregory,England
Average,0,58.5,7.5,0,Lewis Gregory,England
SR,0,100.87,109.76,0,Lewis Gregory,England
Not Out,0,0,1,0,Lewis Gregory,England
Fours,0,10,2,0,Lewis Gregory,England
Sixes,0,3,2,0,Lewis Gregory,England
Ducks,0,0,1,0,Lewis Gregory,England
50s,0,1,0,0,Lewis Gregory,England
100s,0,0,0,0,Lewis Gregory,England
200s,0,0,0,0,Lewis Gregory,England
300s,0,0,0,0,Lewis Gregory,England
400s,0,0,0,0,Lewis Gregory,England
Matches,24,35,58,61,Sam Curran,England
Innings,38,27,34,50,Sam Curran,England
Runs,815,597,356,895,Sam Curran,England
Balls,1271,649,286,669,Sam Curran,England
Highest,78,95,50,63,Sam Curran,England
Average,24.7,24.88,14.24,24.19,Sam Curran,England
SR,64.13,91.99,124.48,133.79,Sam Curran,England
Not Out,5,3,9,13,Sam Curran,England
Fours,96,37,21,74,Sam Curran,England
Sixes,21,22,15,37,Sam Curran,England
Ducks,7,1,0,4,Sam Curran,England
50s,3,2,1,5,Sam Curran,England
100s,0,0,0,0,Sam Curran,England
200s,0,0,0,0,Sam Curran,England
300s,0,0,0,0,Sam Curran,England
400s,0,0,0,0,Sam Curran,England
Matches,100,107,80,50,Jonny Bairstow,England
Innings,178,98,72,50,Jonny Bairstow,England
Runs,6042,3868,1671,1589,Jonny Bairstow,England
Balls,10228,3758,1215,1100,Jonny Bairstow,England
Highest,167,141,90,114,Jonny Bairstow,England
Average,36.4,42.98,29.84,34.54,Jonny Bairstow,England
SR,59.08,102.93,137.54,144.46,Jonny Bairstow,England
Not Out,12,8,16,4,Jonny Bairstow,England
Fours,721,437,148,166,Jonny Bairstow,England
Sixes,56,92,76,69,Jonny Bairstow,England
Ducks,17,9,6,3,Jonny Bairstow,England
50s,26,17,10,9,Jonny Bairstow,England
100s,12,11,0,2,Jonny Bairstow,England
200s,0,0,0,0,Jonny Bairstow,England
300s,0,0,0,0,Jonny Bairstow,England
400s,0,0,0,0,Jonny Bairstow,England
Matches,57,187,134,113,Jos Buttler,England
Innings,100,160,123,112,Jos Buttler,England
Runs,2907,5196,3535,3800,Jos Buttler,England
Balls,5365,4506,2411,2566,Jos Buttler,England
Highest,152,162,101,124,Jos Buttler,England
Average,31.95,39.07,35.35,38.38,Jos Buttler,England
SR,54.19,115.32,146.62,148.1,Jos Buttler,England
Not Out,9,27,23,13,Jos Buttler,England
Fours,339,414,322,376,Jos Buttler,England
Sixes,33,173,152,170,Jos Buttler,England
Ducks,9,14,8,8,Jos Buttler,England
50s,18,27,26,21,Jos Buttler,England
100s,2,11,1,7,Jos Buttler,England
200s,0,0,0,0,Jos Buttler,England
300s,0,0,0,0,Jos Buttler,England
400s,0,0,0,0,Jos Buttler,England
Matches,3,28,37,30,Sam Billings,England
Innings,3,23,33,27,Sam Billings,England
Runs,66,702,478,503,Sam Billings,England
Balls,114,771,368,388,Sam Billings,England
Highest,36,118,87,56,Sam Billings,England
Average,22,33.43,17.07,19.35,Sam Billings,England
SR,57.9,91.06,129.9,129.64,Sam Billings,England
Not Out,0,2,5,1,Sam Billings,England
Fours,10,74,41,40,Sam Billings,England
Sixes,0,8,16,20,Sam Billings,England
Ducks,0,1,1,3,Sam Billings,England
50s,0,5,2,3,Sam Billings,England
100s,0,1,0,0,Sam Billings,England
200s,0,0,0,0,Sam Billings,England
300s,0,0,0,0,Sam Billings,England
400s,0,0,0,0,Sam Billings,England
Matches,19,149,124,3,Adil Rashid,England
Innings,33,79,41,2,Adil Rashid,England
Runs,540,934,155,22,Adil Rashid,England
Balls,1270,971,175,16,Adil Rashid,England
Highest,61,69,22,18,Adil Rashid,England
Average,19.29,17.3,7.38,11,Adil Rashid,England
SR,42.52,96.19,88.58,137.5,Adil Rashid,England
Not Out,5,25,20,0,Adil Rashid,England
Fours,62,91,12,2,Adil Rashid,England
Sixes,4,13,1,1,Adil Rashid,England
Ducks,3,8,3,0,Adil Rashid,England
50s,2,1,0,0,Adil Rashid,England
100s,0,0,0,0,Adil Rashid,England
200s,0,0,0,0,Adil Rashid,England
300s,0,0,0,0,Adil Rashid,England
400s,0,0,0,0,Adil Rashid,England
Matches,37,70,38,5,Mark Wood,England
Innings,62,29,7,3,Mark Wood,England
Runs,807,168,27,12,Mark Wood,England
Balls,1141,167,28,8,Mark Wood,England
Highest,52,43,10,10,Mark Wood,England
Average,15.82,12.92,13.5,6,Mark Wood,England
SR,70.73,100.6,96.43,150,Mark Wood,England
Not Out,11,16,5,1,Mark Wood,England
Fours,107,16,2,1,Mark Wood,England
Sixes,20,5,0,1,Mark Wood,England
Ducks,10,5,1,0,Mark Wood,England
50s,1,0,0,0,Mark Wood,England
100s,0,0,0,0,Mark Wood,England
200s,0,0,0,0,Mark Wood,England
300s,0,0,0,0,Mark Wood,England
400s,0,0,0,0,Mark Wood,England
Matches,13,31,34,47,Jofra Archer,England
Innings,20,18,12,29,Jofra Archer,England
Runs,155,162,82,220,Jofra Archer,England
Balls,306,150,62,142,Jofra Archer,England
Highest,30,38,21,27,Jofra Archer,England
Average,7.75,18,11.71,13.75,Jofra Archer,England
SR,50.66,108,132.26,154.93,Jofra Archer,England
Not Out,0,9,5,13,Jofra Archer,England
Fours,22,18,6,11,Jofra Archer,England
Sixes,1,5,4,16,Jofra Archer,England
Ducks,3,2,3,4,Jofra Archer,England
50s,0,0,0,0,Jofra Archer,England
100s,0,0,0,0,Jofra Archer,England
200s,0,0,0,0,Jofra Archer,England
300s,0,0,0,0,Jofra Archer,England
400s,0,0,0,0,Jofra Archer,England
Matches,5,10,1,0,Olly Stone,England
Innings,10,6,1,0,Olly Stone,England
Runs,102,24,0,0,Olly Stone,England
Balls,234,35,1,0,Olly Stone,England
Highest,20,9,0,0,Olly Stone,England
Average,11.33,8,0,0,Olly Stone,England
SR,43.59,68.58,0,0,Olly Stone,England
Not Out,1,3,0,0,Olly Stone,England
Fours,12,2,0,0,Olly Stone,England
Sixes,1,0,0,0,Olly Stone,England
Ducks,2,0,1,0,Olly Stone,England
50s,0,0,0,0,Olly Stone,England
100s,0,0,0,0,Olly Stone,England
200s,0,0,0,0,Olly Stone,England
300s,0,0,0,0,Olly Stone,England
400s,0,0,0,0,Olly Stone,England
Matches,0,30,35,5,Reece Topley,England
Innings,0,14,10,1,Reece Topley,England
Runs,0,35,17,3,Reece Topley,England
Balls,0,70,20,6,Reece Topley,England
Highest,0,15,9,3,Reece Topley,England
Average,0,11.67,8.5,0,Reece Topley,England
SR,0,50,85,50,Reece Topley,England
Not Out,0,11,8,1,Reece Topley,England
Fours,0,3,1,0,Reece Topley,England
Sixes,0,1,0,0,Reece Topley,England
Ducks,0,1,1,0,Reece Topley,England
50s,0,0,0,0,Reece Topley,England
100s,0,0,0,0,Reece Topley,England
200s,0,0,0,0,Reece Topley,England
300s,0,0,0,0,Reece Topley,England
400s,0,0,0,0,Reece Topley,England
Matches,8,35,95,34,Chris Jordan,England
Innings,11,24,57,13,Chris Jordan,England
Runs,180,184,439,81,Chris Jordan,England
Balls,320,211,340,77,Chris Jordan,England
Highest,35,38,36,30,Chris Jordan,England
Average,18,12.27,13.72,8.1,Chris Jordan,England
SR,56.25,87.21,129.12,105.2,Chris Jordan,England
Not Out,1,9,25,3,Chris Jordan,England
Fours,24,12,31,3,Chris Jordan,England
Sixes,1,5,21,3,Chris Jordan,England
Ducks,0,3,3,1,Chris Jordan,England
50s,0,0,0,0,Chris Jordan,England
100s,0,0,0,0,Chris Jordan,England
200s,0,0,0,0,Chris Jordan,England
300s,0,0,0,0,Chris Jordan,England
400s,0,0,0,0,Chris Jordan,England
Matches,69,143,50,148,Faf du Plessis,South Africa
Innings,118,136,50,141,Faf du Plessis,South Africa
Runs,4163,5507,1528,4652,Faf du Plessis,South Africa
Balls,8986,6218,1137,3404,Faf du Plessis,South Africa
Highest,199,185,119,96,Faf du Plessis,South Africa
Average,40.03,46.67,35.53,35.78,Faf du Plessis,South Africa
SR,46.33,88.57,134.39,136.67,Faf du Plessis,South Africa
Not Out,14,18,7,11,Faf du Plessis,South Africa
Fours,516,495,140,427,Faf du Plessis,South Africa
Sixes,21,66,50,171,Faf du Plessis,South Africa
Ducks,9,3,0,7,Faf du Plessis,South Africa
50s,21,35,10,38,Faf du Plessis,South Africa
100s,10,12,1,0,Faf du Plessis,South Africa
200s,0,0,0,0,Faf du Plessis,South Africa
300s,0,0,0,0,Faf du Plessis,South Africa
400s,0,0,0,0,Faf du Plessis,South Africa
Matches,0,178,130,137,David Miller,South Africa
Innings,0,154,114,131,David Miller,South Africa
Runs,0,4611,2593,3021,David Miller,South Africa
Balls,0,4447,1842,2173,David Miller,South Africa
Highest,0,139,106,101,David Miller,South Africa
Average,0,42.3,33.24,35.96,David Miller,South Africa
SR,0,103.69,140.78,139.03,David Miller,South Africa
Not Out,0,45,36,47,David Miller,South Africa
Fours,0,342,168,216,David Miller,South Africa
Sixes,0,144,130,137,David Miller,South Africa
Ducks,0,9,3,4,David Miller,South Africa
50s,0,24,8,13,David Miller,South Africa
100s,0,7,2,1,David Miller,South Africa
200s,0,0,0,0,David Miller,South Africa
300s,0,0,0,0,David Miller,South Africa
400s,0,0,0,0,David Miller,South Africa
Matches,45,77,57,51,Aiden Markram,South Africa
Innings,82,73,53,49,Aiden Markram,South Africa
Runs,2857,2371,1367,1203,Aiden Markram,South Africa
Balls,4803,2436,950,905,Aiden Markram,South Africa
Highest,152,175,70,68,Aiden Markram,South Africa
Average,35.71,37.05,30.38,30.08,Aiden Markram,South Africa
SR,59.49,97.34,143.9,132.93,Aiden Markram,South Africa
Not Out,2,9,8,9,Aiden Markram,South Africa
Fours,412,236,123,94,Aiden Markram,South Africa
Sixes,14,55,56,44,Aiden Markram,South Africa
Ducks,6,4,2,2,Aiden Markram,South Africa
50s,13,12,9,7,Aiden Markram,South Africa
100s,7,3,0,0,Aiden Markram,South Africa
200s,0,0,0,0,Aiden Markram,South Africa
300s,0,0,0,0,Aiden Markram,South Africa
400s,0,0,0,0,Aiden Markram,South Africa
Matches,18,71,50,3,Rassie van der Dussen,South Africa
Innings,32,66,46,3,Rassie van der Dussen,South Africa
Runs,905,2657,1257,22,Rassie van der Dussen,South Africa
Balls,2221,3053,971,24,Rassie van der Dussen,South Africa
Highest,98,134,94,12,Rassie van der Dussen,South Africa
Average,30.17,50.13,33.97,11,Rassie van der Dussen,South Africa
SR,40.75,87.03,129.46,91.67,Rassie van der Dussen,South Africa
Not Out,2,13,9,1,Rassie van der Dussen,South Africa
Fours,101,206,73,2,Rassie van der Dussen,South Africa
Sixes,4,50,60,0,Rassie van der Dussen,South Africa
Ducks,3,3,2,0,Rassie van der Dussen,South Africa
50s,6,17,9,0,Rassie van der Dussen,South Africa
100s,0,6,0,0,Rassie van der Dussen,South Africa
200s,0,0,0,0,Rassie van der Dussen,South Africa
300s,0,0,0,0,Rassie van der Dussen,South Africa
400s,0,0,0,0,Rassie van der Dussen,South Africa
Matches,46,199,81,83,Jean,South Africa
Innings,74,179,75,77,Jean,South Africa
Runs,2103,5117,1934,2029,Jean,South Africa
Balls,4544,6050,1532,1636,Jean,South Africa
Highest,166,150,96,78,Jean,South Africa
Average,32.86,36.81,38.68,39.78,Jean,South Africa
SR,46.29,84.58,126.25,124.03,Jean,South Africa
Not Out,10,40,25,26,Jean,South Africa
Fours,251,347,138,126,Jean,South Africa
Sixes,13,75,71,79,Jean,South Africa
Ducks,9,7,6,1,Jean,South Africa
50s,8,27,11,14,Jean,South Africa
100s,6,4,0,0,Jean,South Africa
200s,0,0,0,0,Jean,South Africa
300s,0,0,0,0,Jean,South Africa
400s,0,0,0,0,Jean,South Africa
Matches,4,85,42,0,Andile Phehlukwayo,South Africa
Innings,4,57,25,0,Andile Phehlukwayo,South Africa
Runs,19,884,166,0,Andile Phehlukwayo,South Africa
Balls,39,1027,153,0,Andile Phehlukwayo,South Africa
Highest,9,69,27,0,Andile Phehlukwayo,South Africa
Average,9.5,23.26,9.22,0,Andile Phehlukwayo,South Africa
SR,48.72,86.08,108.5,0,Andile Phehlukwayo,South Africa
Not Out,2,19,7,0,Andile Phehlukwayo,South Africa
Fours,3,77,16,0,Andile Phehlukwayo,South Africa
Sixes,0,36,5,0,Andile Phehlukwayo,South Africa
Ducks,1,5,7,0,Andile Phehlukwayo,South Africa
50s,0,2,0,0,Andile Phehlukwayo,South Africa
100s,0,0,0,0,Andile Phehlukwayo,South Africa
200s,0,0,0,0,Andile Phehlukwayo,South Africa
300s,0,0,0,0,Andile Phehlukwayo,South Africa
400s,0,0,0,0,Andile Phehlukwayo,South Africa
Matches,3,27,30,7,Dwaine Pretorius,South Africa
Innings,6,13,17,5,Dwaine Pretorius,South Africa
Runs,83,192,261,44,Dwaine Pretorius,South Africa
Balls,163,224,159,28,Dwaine Pretorius,South Africa
Highest,37,50,77,22,Dwaine Pretorius,South Africa
Average,13.83,16,21.75,11,Dwaine Pretorius,South Africa
