ROWHEADER,Test,ODI,T20,IPL,name
Balls,522.0,313.0,38.0,232.0,Shardul Thakur
Highest,67.0,50.0,22.0,68.0,Shardul Thakur
Average,19.47,17.32,23.0,11.89,Shardul Thakur
SR,63.41,105.12,181.58,138.37,Shardul Thakur
Not Out,1.0,6.0,3.0,14.0,Shardul Thakur
Fours,41.0,31.0,5.0,29.0,Shardul Thakur
Sixes,9.0,9.0,4.0,13.0,Shardul Thakur
Ducks,3.0,1.0,2.0,8.0,Shardul Thakur
50s,4.0,1.0,0.0,1.0,Shardul Thakur
100s,0.0,0.0,0.0,0.0,Shardul Thakur
200s,0.0,0.0,0.0,0.0,Shardul Thakur
300s,0.0,0.0,0.0,0.0,Shardul Thakur
400s,0.0,0.0,0.0,0.0,Shardul Thakur
Matches,106.0,116.0,65.0,217.0,Ravichandran Ashwin
Innings,151.0,63.0,19.0,96.0,Ravichandran Ashwin
Runs,3503.0,707.0,184.0,812.0,Ravichandran Ashwin
Balls,6423.0,813.0,160.0,690.0,Ravichandran Ashwin
Highest,124.0,65.0,31.0,50.0,Ravichandran Ashwin
Average,25.76,16.44,26.29,13.1,Ravichandran Ashwin
SR,54.54,86.97,115.0,117.69,Ravichandran Ashwin
Not Out,15.0,20.0,12.0,34.0,Ravichandran Ashwin
Fours,399.0,60.0,17.0,62.0,Ravichandran Ashwin
Sixes,23.0,7.0,4.0,28.0,Ravichandran Ashwin
Ducks,9.0,6.0,0.0,12.0,Ravichandran Ashwin
50s,14.0,1.0,0.0,1.0,Ravichandran Ashwin
100s,6.0,0.0,0.0,0.0,Ravichandran Ashwin
200s,0.0,0.0,0.0,0.0,Ravichandran Ashwin
300s,0.0,0.0,0.0,0.0,Ravichandran Ashwin
400s,0.0,0.0,0.0,0.0,Ravichandran Ashwin
Matches,58.0,85.0,72.0,137.0,KL Rahul
Innings,101.0,79.0,68.0,128.0,KL Rahul
Runs,3257.0,3043.0,2265.0,4921.0,KL Rahul
Balls,6168.0,3451.0,1628.0,3633.0,KL Rahul
Highest,199.0,112.0,110.0,132.0,KL Rahul
Average,33.58,49.08,37.75,45.99,KL Rahul
SR,52.81,88.18,139.13,135.46,KL Rahul
Not Out,4.0,17.0,8.0,21.0,KL Rahul
Fours,386.0,235.0,191.0,418.0,KL Rahul
Sixes,26.0,67.0,99.0,199.0,KL Rahul
Ducks,9.0,3.0,5.0,4.0,KL Rahul
50s,17.0,18.0,22.0,39.0,KL Rahul
100s,8.0,7.0,2.0,4.0,KL Rahul
200s,0.0,0.0,0.0,0.0,KL Rahul
300s,0.0,0.0,0.0,0.0,KL Rahul
400s,0.0,0.0,0.0,0.0,KL Rahul
Matches,0.0,16.0,42.0,174.0,Sanju Samson
Innings,0.0,14.0,38.0,170.0,Sanju Samson
Runs,0.0,510.0,861.0,4643.0,Sanju Samson
Balls,0.0,512.0,565.0,3336.0,Sanju Samson
Highest,0.0,108.0,111.0,119.0,Sanju Samson
Average,0.0,56.67,25.32,30.75,Sanju Samson
SR,0.0,99.61,152.39,139.18,Sanju Samson
Not Out,0.0,5.0,4.0,19.0,Sanju Samson
Fours,0.0,34.0,71.0,375.0,Sanju Samson
Sixes,0.0,22.0,49.0,216.0,Sanju Samson
Ducks,0.0,0.0,6.0,11.0,Sanju Samson
50s,0.0,3.0,2.0,26.0,Sanju Samson
100s,0.0,1.0,3.0,3.0,Sanju Samson
200s,0.0,0.0,0.0,0.0,Sanju Samson
300s,0.0,0.0,0.0,0.0,Sanju Samson
400s,0.0,0.0,0.0,0.0,Sanju Samson
Matches,40.0,9.0,0.0,170.0,Wriddhiman Saha
Innings,56.0,5.0,0.0,145.0,Wriddhiman Saha
Runs,1353.0,41.0,0.0,2934.0,Wriddhiman Saha
Balls,2973.0,56.0,0.0,2300.0,Wriddhiman Saha
Highest,117.0,16.0,0.0,115.0,Wriddhiman Saha
Average,29.41,13.67,0.0,24.25,Wriddhiman Saha
SR,45.51,73.22,0.0,127.57,Wriddhiman Saha
Not Out,10.0,2.0,0.0,24.0,Wriddhiman Saha
Fours,129.0,5.0,0.0,296.0,Wriddhiman Saha
Sixes,14.0,0.0,0.0,87.0,Wriddhiman Saha
Ducks,6.0,0.0,0.0,7.0,Wriddhiman Saha
50s,6.0,0.0,0.0,13.0,Wriddhiman Saha
100s,3.0,0.0,0.0,1.0,Wriddhiman Saha
200s,0.0,0.0,0.0,0.0,Wriddhiman Saha
300s,0.0,0.0,0.0,0.0,Wriddhiman Saha
400s,0.0,0.0,0.0,0.0,Wriddhiman Saha
Matches,43.0,31.0,76.0,118.0,Rishabh Pant
Innings,75.0,27.0,66.0,116.0,Rishabh Pant
Runs,2948.0,871.0,1209.0,3387.0,Rishabh Pant
Balls,4005.0,820.0,949.0,2304.0,Rishabh Pant
Highest,159.0,125.0,65.0,128.0,Rishabh Pant
Average,42.11,33.5,23.25,34.21,Rishabh Pant
SR,73.61,106.22,127.4,147.01,Rishabh Pant
Not Out,5.0,1.0,14.0,17.0,Rishabh Pant
Fours,321.0,91.0,111.0,304.0,Rishabh Pant
Sixes,73.0,26.0,44.0,159.0,Rishabh Pant
Ducks,3.0,3.0,4.0,5.0,Rishabh Pant
50s,15.0,5.0,3.0,19.0,Rishabh Pant
100s,6.0,1.0,0.0,1.0,Rishabh Pant
200s,0.0,0.0,0.0,0.0,Rishabh Pant
300s,0.0,0.0,0.0,0.0,Rishabh Pant
400s,0.0,0.0,0.0,0.0,Rishabh Pant
Matches,64.0,108.0,25.0,117.0,Mohammed Shami
Innings,89.0,49.0,5.0,29.0,Mohammed Shami
Runs,750.0,225.0,7.0,84.0,Mohammed Shami
Balls,1005.0,273.0,10.0,89.0,Mohammed Shami
Highest,56.0,25.0,7.0,21.0,Mohammed Shami
Average,11.9,7.76,3.5,6.0,Mohammed Shami
SR,74.63,82.42,70.0,94.39,Mohammed Shami
Not Out,26.0,20.0,3.0,15.0,Mohammed Shami
Fours,83.0,17.0,0.0,7.0,Mohammed Shami
Sixes,25.0,9.0,1.0,2.0,Mohammed Shami
Ducks,18.0,6.0,1.0,4.0,Mohammed Shami
50s,2.0,0.0,0.0,0.0,Mohammed Shami
100s,0.0,0.0,0.0,0.0,Mohammed Shami
200s,0.0,0.0,0.0,0.0,Mohammed Shami
300s,0.0,0.0,0.0,0.0,Mohammed Shami
400s,0.0,0.0,0.0,0.0,Mohammed Shami
Matches,45.0,89.0,70.0,136.0,Jasprit Bumrah
Innings,69.0,26.0,8.0,31.0,Jasprit Bumrah
Runs,332.0,91.0,8.0,68.0,Jasprit Bumrah
Balls,741.0,159.0,14.0,79.0,Jasprit Bumrah
Highest,34.0,16.0,7.0,16.0,Jasprit Bumrah
Average,7.06,7.58,2.67,9.71,Jasprit Bumrah
SR,44.81,57.24,57.15,86.08,Jasprit Bumrah
Not Out,22.0,14.0,5.0,24.0,Jasprit Bumrah
Fours,35.0,10.0,1.0,5.0,Jasprit Bumrah
Sixes,11.0,1.0,0.0,1.0,Jasprit Bumrah
Ducks,25.0,5.0,2.0,5.0,Jasprit Bumrah
50s,0.0,0.0,0.0,0.0,Jasprit Bumrah
